"","percent_reduction","scenario"
"92",21.7,"Scenario 6 (small hospital population size)"
"93",26.9,"Scenario 6 (small hospital population size)"
"94",26.9,"Scenario 6 (small hospital population size)"
"95",26.9,"Scenario 6 (small hospital population size)"
"96",32,"Scenario 6 (small hospital population size)"
"97",32,"Scenario 6 (small hospital population size)"
"98",32,"Scenario 6 (small hospital population size)"
"99",37,"Scenario 6 (small hospital population size)"
"100",37,"Scenario 6 (small hospital population size)"
"101",37,"Scenario 6 (small hospital population size)"
"102",42,"Scenario 6 (small hospital population size)"
"103",42,"Scenario 6 (small hospital population size)"
"104",42,"Scenario 6 (small hospital population size)"
"105",46.8,"Scenario 6 (small hospital population size)"
"106",46.8,"Scenario 6 (small hospital population size)"
"107",46.8,"Scenario 6 (small hospital population size)"
"108",51.6,"Scenario 6 (small hospital population size)"
"109",51.6,"Scenario 6 (small hospital population size)"
"110",51.6,"Scenario 6 (small hospital population size)"
"111",6.7,"Scenario 6 (small hospital population size)"
"112",6.7,"Scenario 6 (small hospital population size)"
"113",6.7,"Scenario 6 (small hospital population size)"
"114",6.7,"Scenario 6 (small hospital population size)"
"115",13.2,"Scenario 6 (small hospital population size)"
"116",13.2,"Scenario 6 (small hospital population size)"
"117",13.2,"Scenario 6 (small hospital population size)"
"118",13.2,"Scenario 6 (small hospital population size)"
"119",19.6,"Scenario 6 (small hospital population size)"
"120",19.6,"Scenario 6 (small hospital population size)"
"121",19.6,"Scenario 6 (small hospital population size)"
"122",19.6,"Scenario 6 (small hospital population size)"
"123",25.8,"Scenario 6 (small hospital population size)"
"124",25.8,"Scenario 6 (small hospital population size)"
"125",25.8,"Scenario 6 (small hospital population size)"
"126",25.8,"Scenario 6 (small hospital population size)"
"127",32,"Scenario 6 (small hospital population size)"
"128",32,"Scenario 6 (small hospital population size)"
"129",32,"Scenario 6 (small hospital population size)"
"130",32,"Scenario 6 (small hospital population size)"
"131",37.9,"Scenario 6 (small hospital population size)"
"132",37.9,"Scenario 6 (small hospital population size)"
"133",37.9,"Scenario 6 (small hospital population size)"
"134",37.9,"Scenario 6 (small hospital population size)"
"135",43.8,"Scenario 6 (small hospital population size)"
"136",43.8,"Scenario 6 (small hospital population size)"
"137",43.8,"Scenario 6 (small hospital population size)"
"138",43.8,"Scenario 6 (small hospital population size)"
"139",49.5,"Scenario 6 (small hospital population size)"
"140",49.5,"Scenario 6 (small hospital population size)"
"141",49.5,"Scenario 6 (small hospital population size)"
"142",49.5,"Scenario 6 (small hospital population size)"
"143",55.1,"Scenario 6 (small hospital population size)"
"144",55.1,"Scenario 6 (small hospital population size)"
"145",55.1,"Scenario 6 (small hospital population size)"
"146",55.1,"Scenario 6 (small hospital population size)"
"147",60.6,"Scenario 6 (small hospital population size)"
"148",60.6,"Scenario 6 (small hospital population size)"
"149",60.6,"Scenario 6 (small hospital population size)"
"150",60.6,"Scenario 6 (small hospital population size)"
"151",7.7,"Scenario 6 (small hospital population size)"
"152",7.7,"Scenario 6 (small hospital population size)"
"153",7.7,"Scenario 6 (small hospital population size)"
"154",7.7,"Scenario 6 (small hospital population size)"
"155",15.3,"Scenario 6 (small hospital population size)"
"156",15.3,"Scenario 6 (small hospital population size)"
"157",15.3,"Scenario 6 (small hospital population size)"
"158",15.3,"Scenario 6 (small hospital population size)"
"159",22.7,"Scenario 6 (small hospital population size)"
"160",22.7,"Scenario 6 (small hospital population size)"
"161",22.7,"Scenario 6 (small hospital population size)"
"162",22.7,"Scenario 6 (small hospital population size)"
"163",29.9,"Scenario 6 (small hospital population size)"
"164",29.9,"Scenario 6 (small hospital population size)"
"165",29.9,"Scenario 6 (small hospital population size)"
"166",29.9,"Scenario 6 (small hospital population size)"
"167",36.9,"Scenario 6 (small hospital population size)"
"168",36.9,"Scenario 6 (small hospital population size)"
"169",36.9,"Scenario 6 (small hospital population size)"
"170",36.9,"Scenario 6 (small hospital population size)"
"171",43.7,"Scenario 6 (small hospital population size)"
"172",43.7,"Scenario 6 (small hospital population size)"
"173",43.7,"Scenario 6 (small hospital population size)"
"174",43.7,"Scenario 6 (small hospital population size)"
"175",50.4,"Scenario 6 (small hospital population size)"
"176",50.4,"Scenario 6 (small hospital population size)"
"177",50.4,"Scenario 6 (small hospital population size)"
"178",50.4,"Scenario 6 (small hospital population size)"
"179",56.8,"Scenario 6 (small hospital population size)"
"180",56.8,"Scenario 6 (small hospital population size)"
"181",56.8,"Scenario 6 (small hospital population size)"
"182",56.8,"Scenario 6 (small hospital population size)"
"183",63.1,"Scenario 6 (small hospital population size)"
"184",63.1,"Scenario 6 (small hospital population size)"
"185",63.1,"Scenario 6 (small hospital population size)"
"186",63.1,"Scenario 6 (small hospital population size)"
"187",69.2,"Scenario 6 (small hospital population size)"
"188",69.2,"Scenario 6 (small hospital population size)"
"189",69.2,"Scenario 6 (small hospital population size)"
"190",69.2,"Scenario 6 (small hospital population size)"
"191",8.8,"Scenario 6 (small hospital population size)"
"192",8.8,"Scenario 6 (small hospital population size)"
"193",8.8,"Scenario 6 (small hospital population size)"
"194",8.8,"Scenario 6 (small hospital population size)"
"195",17.4,"Scenario 6 (small hospital population size)"
"196",17.4,"Scenario 6 (small hospital population size)"
"197",17.4,"Scenario 6 (small hospital population size)"
"198",17.4,"Scenario 6 (small hospital population size)"
"199",25.8,"Scenario 6 (small hospital population size)"
"200",25.8,"Scenario 6 (small hospital population size)"
"201",25.8,"Scenario 6 (small hospital population size)"
"202",25.8,"Scenario 6 (small hospital population size)"
"203",33.9,"Scenario 6 (small hospital population size)"
"204",33.9,"Scenario 6 (small hospital population size)"
"205",33.9,"Scenario 6 (small hospital population size)"
"206",33.9,"Scenario 6 (small hospital population size)"
"207",41.8,"Scenario 6 (small hospital population size)"
"208",41.8,"Scenario 6 (small hospital population size)"
"209",41.8,"Scenario 6 (small hospital population size)"
"210",41.8,"Scenario 6 (small hospital population size)"
"211",49.4,"Scenario 6 (small hospital population size)"
"212",49.4,"Scenario 6 (small hospital population size)"
"213",49.4,"Scenario 6 (small hospital population size)"
"214",49.4,"Scenario 6 (small hospital population size)"
"215",56.7,"Scenario 6 (small hospital population size)"
"216",56.7,"Scenario 6 (small hospital population size)"
"217",56.7,"Scenario 6 (small hospital population size)"
"218",56.7,"Scenario 6 (small hospital population size)"
"219",63.9,"Scenario 6 (small hospital population size)"
"220",63.9,"Scenario 6 (small hospital population size)"
"221",63.9,"Scenario 6 (small hospital population size)"
"222",63.9,"Scenario 6 (small hospital population size)"
"223",70.8,"Scenario 6 (small hospital population size)"
"224",70.8,"Scenario 6 (small hospital population size)"
"225",70.8,"Scenario 6 (small hospital population size)"
"226",70.8,"Scenario 6 (small hospital population size)"
"227",77.4,"Scenario 6 (small hospital population size)"
"228",77.4,"Scenario 6 (small hospital population size)"
"229",77.4,"Scenario 6 (small hospital population size)"
"230",77.4,"Scenario 6 (small hospital population size)"
"231",9.9,"Scenario 6 (small hospital population size)"
"232",9.9,"Scenario 6 (small hospital population size)"
"233",9.9,"Scenario 6 (small hospital population size)"
"234",9.9,"Scenario 6 (small hospital population size)"
"235",9.9,"Scenario 6 (small hospital population size)"
"236",19.5,"Scenario 6 (small hospital population size)"
"237",19.5,"Scenario 6 (small hospital population size)"
"238",19.5,"Scenario 6 (small hospital population size)"
"239",19.5,"Scenario 6 (small hospital population size)"
"240",19.5,"Scenario 6 (small hospital population size)"
"241",28.8,"Scenario 6 (small hospital population size)"
"242",28.8,"Scenario 6 (small hospital population size)"
"243",28.8,"Scenario 6 (small hospital population size)"
"244",28.8,"Scenario 6 (small hospital population size)"
"245",28.8,"Scenario 6 (small hospital population size)"
"246",37.8,"Scenario 6 (small hospital population size)"
"247",37.8,"Scenario 6 (small hospital population size)"
"248",37.8,"Scenario 6 (small hospital population size)"
"249",37.8,"Scenario 6 (small hospital population size)"
"250",37.8,"Scenario 6 (small hospital population size)"
"251",46.5,"Scenario 6 (small hospital population size)"
"252",46.5,"Scenario 6 (small hospital population size)"
"253",46.5,"Scenario 6 (small hospital population size)"
"254",46.5,"Scenario 6 (small hospital population size)"
"255",46.5,"Scenario 6 (small hospital population size)"
"256",54.9,"Scenario 6 (small hospital population size)"
"257",54.9,"Scenario 6 (small hospital population size)"
"258",54.9,"Scenario 6 (small hospital population size)"
"259",54.9,"Scenario 6 (small hospital population size)"
"260",54.9,"Scenario 6 (small hospital population size)"
"261",62.9,"Scenario 6 (small hospital population size)"
"262",62.9,"Scenario 6 (small hospital population size)"
"263",62.9,"Scenario 6 (small hospital population size)"
"264",62.9,"Scenario 6 (small hospital population size)"
"265",62.9,"Scenario 6 (small hospital population size)"
"266",70.6,"Scenario 6 (small hospital population size)"
"267",70.6,"Scenario 6 (small hospital population size)"
"268",70.6,"Scenario 6 (small hospital population size)"
"269",70.6,"Scenario 6 (small hospital population size)"
"270",70.6,"Scenario 6 (small hospital population size)"
"271",78.1,"Scenario 6 (small hospital population size)"
"272",78.1,"Scenario 6 (small hospital population size)"
"273",78.1,"Scenario 6 (small hospital population size)"
"274",78.1,"Scenario 6 (small hospital population size)"
"275",78.1,"Scenario 6 (small hospital population size)"
"276",85.2,"Scenario 6 (small hospital population size)"
"277",85.2,"Scenario 6 (small hospital population size)"
"278",85.2,"Scenario 6 (small hospital population size)"
"279",85.2,"Scenario 6 (small hospital population size)"
"280",85.2,"Scenario 6 (small hospital population size)"
"281",11,"Scenario 6 (small hospital population size)"
"282",11,"Scenario 6 (small hospital population size)"
"283",11,"Scenario 6 (small hospital population size)"
"284",11,"Scenario 6 (small hospital population size)"
"285",11,"Scenario 6 (small hospital population size)"
"286",21.6,"Scenario 6 (small hospital population size)"
"287",21.6,"Scenario 6 (small hospital population size)"
"288",21.6,"Scenario 6 (small hospital population size)"
"289",21.6,"Scenario 6 (small hospital population size)"
"290",21.6,"Scenario 6 (small hospital population size)"
"291",31.8,"Scenario 6 (small hospital population size)"
"292",31.8,"Scenario 6 (small hospital population size)"
"293",31.8,"Scenario 6 (small hospital population size)"
"294",31.8,"Scenario 6 (small hospital population size)"
"295",31.8,"Scenario 6 (small hospital population size)"
"296",41.7,"Scenario 6 (small hospital population size)"
"297",41.7,"Scenario 6 (small hospital population size)"
"298",41.7,"Scenario 6 (small hospital population size)"
"299",41.7,"Scenario 6 (small hospital population size)"
"300",41.7,"Scenario 6 (small hospital population size)"
"301",51.1,"Scenario 6 (small hospital population size)"
"302",51.1,"Scenario 6 (small hospital population size)"
"303",51.1,"Scenario 6 (small hospital population size)"
"304",51.1,"Scenario 6 (small hospital population size)"
"305",51.1,"Scenario 6 (small hospital population size)"
"306",60.2,"Scenario 6 (small hospital population size)"
"307",60.2,"Scenario 6 (small hospital population size)"
"308",60.2,"Scenario 6 (small hospital population size)"
"309",60.2,"Scenario 6 (small hospital population size)"
"310",60.2,"Scenario 6 (small hospital population size)"
"311",68.9,"Scenario 6 (small hospital population size)"
"312",68.9,"Scenario 6 (small hospital population size)"
"313",68.9,"Scenario 6 (small hospital population size)"
"314",68.9,"Scenario 6 (small hospital population size)"
"315",68.9,"Scenario 6 (small hospital population size)"
"316",77.2,"Scenario 6 (small hospital population size)"
"317",77.2,"Scenario 6 (small hospital population size)"
"318",77.2,"Scenario 6 (small hospital population size)"
"319",77.2,"Scenario 6 (small hospital population size)"
"320",77.2,"Scenario 6 (small hospital population size)"
"321",85.1,"Scenario 6 (small hospital population size)"
"322",85.1,"Scenario 6 (small hospital population size)"
"323",85.1,"Scenario 6 (small hospital population size)"
"324",85.1,"Scenario 6 (small hospital population size)"
"325",85.1,"Scenario 6 (small hospital population size)"
"326",92.6,"Scenario 6 (small hospital population size)"
"327",92.6,"Scenario 6 (small hospital population size)"
"328",92.6,"Scenario 6 (small hospital population size)"
"329",92.6,"Scenario 6 (small hospital population size)"
"330",92.6,"Scenario 6 (small hospital population size)"
