"","percent_reduction","scenario"
"58",13.09,"Scenario 4 (low transmissibilty in hospital)"
"59",13.09,"Scenario 4 (low transmissibilty in hospital)"
"60",17.35,"Scenario 4 (low transmissibilty in hospital)"
"61",17.35,"Scenario 4 (low transmissibilty in hospital)"
"62",17.35,"Scenario 4 (low transmissibilty in hospital)"
"63",21.56,"Scenario 4 (low transmissibilty in hospital)"
"64",21.56,"Scenario 4 (low transmissibilty in hospital)"
"65",21.56,"Scenario 4 (low transmissibilty in hospital)"
"66",25.71,"Scenario 4 (low transmissibilty in hospital)"
"67",25.71,"Scenario 4 (low transmissibilty in hospital)"
"68",25.71,"Scenario 4 (low transmissibilty in hospital)"
"69",29.81,"Scenario 4 (low transmissibilty in hospital)"
"70",29.81,"Scenario 4 (low transmissibilty in hospital)"
"71",29.81,"Scenario 4 (low transmissibilty in hospital)"
"72",33.85,"Scenario 4 (low transmissibilty in hospital)"
"73",33.85,"Scenario 4 (low transmissibilty in hospital)"
"74",33.85,"Scenario 4 (low transmissibilty in hospital)"
"75",37.85,"Scenario 4 (low transmissibilty in hospital)"
"76",37.85,"Scenario 4 (low transmissibilty in hospital)"
"77",37.85,"Scenario 4 (low transmissibilty in hospital)"
"78",41.79,"Scenario 4 (low transmissibilty in hospital)"
"79",41.79,"Scenario 4 (low transmissibilty in hospital)"
"80",41.79,"Scenario 4 (low transmissibilty in hospital)"
"81",5.52,"Scenario 4 (low transmissibilty in hospital)"
"82",5.52,"Scenario 4 (low transmissibilty in hospital)"
"83",5.52,"Scenario 4 (low transmissibilty in hospital)"
"84",10.94,"Scenario 4 (low transmissibilty in hospital)"
"85",10.94,"Scenario 4 (low transmissibilty in hospital)"
"86",10.94,"Scenario 4 (low transmissibilty in hospital)"
"87",16.27,"Scenario 4 (low transmissibilty in hospital)"
"88",16.27,"Scenario 4 (low transmissibilty in hospital)"
"89",16.27,"Scenario 4 (low transmissibilty in hospital)"
"90",21.51,"Scenario 4 (low transmissibilty in hospital)"
"91",21.51,"Scenario 4 (low transmissibilty in hospital)"
"92",21.51,"Scenario 4 (low transmissibilty in hospital)"
"93",26.68,"Scenario 4 (low transmissibilty in hospital)"
"94",26.68,"Scenario 4 (low transmissibilty in hospital)"
"95",26.68,"Scenario 4 (low transmissibilty in hospital)"
"96",31.76,"Scenario 4 (low transmissibilty in hospital)"
"97",31.76,"Scenario 4 (low transmissibilty in hospital)"
"98",31.76,"Scenario 4 (low transmissibilty in hospital)"
"99",36.73,"Scenario 4 (low transmissibilty in hospital)"
"100",36.73,"Scenario 4 (low transmissibilty in hospital)"
"101",36.73,"Scenario 4 (low transmissibilty in hospital)"
"102",41.64,"Scenario 4 (low transmissibilty in hospital)"
"103",41.64,"Scenario 4 (low transmissibilty in hospital)"
"104",41.64,"Scenario 4 (low transmissibilty in hospital)"
"105",46.46,"Scenario 4 (low transmissibilty in hospital)"
"106",46.46,"Scenario 4 (low transmissibilty in hospital)"
"107",46.46,"Scenario 4 (low transmissibilty in hospital)"
"108",51.19,"Scenario 4 (low transmissibilty in hospital)"
"109",51.19,"Scenario 4 (low transmissibilty in hospital)"
"110",51.19,"Scenario 4 (low transmissibilty in hospital)"
"111",6.6,"Scenario 4 (low transmissibilty in hospital)"
"112",6.6,"Scenario 4 (low transmissibilty in hospital)"
"113",6.6,"Scenario 4 (low transmissibilty in hospital)"
"114",6.6,"Scenario 4 (low transmissibilty in hospital)"
"115",13.07,"Scenario 4 (low transmissibilty in hospital)"
"116",13.07,"Scenario 4 (low transmissibilty in hospital)"
"117",13.07,"Scenario 4 (low transmissibilty in hospital)"
"118",13.07,"Scenario 4 (low transmissibilty in hospital)"
"119",19.41,"Scenario 4 (low transmissibilty in hospital)"
"120",19.41,"Scenario 4 (low transmissibilty in hospital)"
"121",19.41,"Scenario 4 (low transmissibilty in hospital)"
"122",19.41,"Scenario 4 (low transmissibilty in hospital)"
"123",25.61,"Scenario 4 (low transmissibilty in hospital)"
"124",25.61,"Scenario 4 (low transmissibilty in hospital)"
"125",25.61,"Scenario 4 (low transmissibilty in hospital)"
"126",25.61,"Scenario 4 (low transmissibilty in hospital)"
"127",31.69,"Scenario 4 (low transmissibilty in hospital)"
"128",31.69,"Scenario 4 (low transmissibilty in hospital)"
"129",31.69,"Scenario 4 (low transmissibilty in hospital)"
"130",31.69,"Scenario 4 (low transmissibilty in hospital)"
"131",37.65,"Scenario 4 (low transmissibilty in hospital)"
"132",37.65,"Scenario 4 (low transmissibilty in hospital)"
"133",37.65,"Scenario 4 (low transmissibilty in hospital)"
"134",37.65,"Scenario 4 (low transmissibilty in hospital)"
"135",43.48,"Scenario 4 (low transmissibilty in hospital)"
"136",43.48,"Scenario 4 (low transmissibilty in hospital)"
"137",43.48,"Scenario 4 (low transmissibilty in hospital)"
"138",43.48,"Scenario 4 (low transmissibilty in hospital)"
"139",49.18,"Scenario 4 (low transmissibilty in hospital)"
"140",49.18,"Scenario 4 (low transmissibilty in hospital)"
"141",49.18,"Scenario 4 (low transmissibilty in hospital)"
"142",49.18,"Scenario 4 (low transmissibilty in hospital)"
"143",54.75,"Scenario 4 (low transmissibilty in hospital)"
"144",54.75,"Scenario 4 (low transmissibilty in hospital)"
"145",54.75,"Scenario 4 (low transmissibilty in hospital)"
"146",54.75,"Scenario 4 (low transmissibilty in hospital)"
"147",60.19,"Scenario 4 (low transmissibilty in hospital)"
"148",60.19,"Scenario 4 (low transmissibilty in hospital)"
"149",60.19,"Scenario 4 (low transmissibilty in hospital)"
"150",60.19,"Scenario 4 (low transmissibilty in hospital)"
"151",7.69,"Scenario 4 (low transmissibilty in hospital)"
"152",7.69,"Scenario 4 (low transmissibilty in hospital)"
"153",7.69,"Scenario 4 (low transmissibilty in hospital)"
"154",7.69,"Scenario 4 (low transmissibilty in hospital)"
"155",15.19,"Scenario 4 (low transmissibilty in hospital)"
"156",15.19,"Scenario 4 (low transmissibilty in hospital)"
"157",15.19,"Scenario 4 (low transmissibilty in hospital)"
"158",15.19,"Scenario 4 (low transmissibilty in hospital)"
"159",22.51,"Scenario 4 (low transmissibilty in hospital)"
"160",22.51,"Scenario 4 (low transmissibilty in hospital)"
"161",22.51,"Scenario 4 (low transmissibilty in hospital)"
"162",22.51,"Scenario 4 (low transmissibilty in hospital)"
"163",29.66,"Scenario 4 (low transmissibilty in hospital)"
"164",29.66,"Scenario 4 (low transmissibilty in hospital)"
"165",29.66,"Scenario 4 (low transmissibilty in hospital)"
"166",29.66,"Scenario 4 (low transmissibilty in hospital)"
"167",36.62,"Scenario 4 (low transmissibilty in hospital)"
"168",36.62,"Scenario 4 (low transmissibilty in hospital)"
"169",36.62,"Scenario 4 (low transmissibilty in hospital)"
"170",36.62,"Scenario 4 (low transmissibilty in hospital)"
"171",43.4,"Scenario 4 (low transmissibilty in hospital)"
"172",43.4,"Scenario 4 (low transmissibilty in hospital)"
"173",43.4,"Scenario 4 (low transmissibilty in hospital)"
"174",43.4,"Scenario 4 (low transmissibilty in hospital)"
"175",50.01,"Scenario 4 (low transmissibilty in hospital)"
"176",50.01,"Scenario 4 (low transmissibilty in hospital)"
"177",50.01,"Scenario 4 (low transmissibilty in hospital)"
"178",50.01,"Scenario 4 (low transmissibilty in hospital)"
"179",56.46,"Scenario 4 (low transmissibilty in hospital)"
"180",56.46,"Scenario 4 (low transmissibilty in hospital)"
"181",56.46,"Scenario 4 (low transmissibilty in hospital)"
"182",56.46,"Scenario 4 (low transmissibilty in hospital)"
"183",62.71,"Scenario 4 (low transmissibilty in hospital)"
"184",62.71,"Scenario 4 (low transmissibilty in hospital)"
"185",62.71,"Scenario 4 (low transmissibilty in hospital)"
"186",62.71,"Scenario 4 (low transmissibilty in hospital)"
"187",68.8,"Scenario 4 (low transmissibilty in hospital)"
"188",68.8,"Scenario 4 (low transmissibilty in hospital)"
"189",68.8,"Scenario 4 (low transmissibilty in hospital)"
"190",68.8,"Scenario 4 (low transmissibilty in hospital)"
"191",8.78,"Scenario 4 (low transmissibilty in hospital)"
"192",8.78,"Scenario 4 (low transmissibilty in hospital)"
"193",8.78,"Scenario 4 (low transmissibilty in hospital)"
"194",8.78,"Scenario 4 (low transmissibilty in hospital)"
"195",17.29,"Scenario 4 (low transmissibilty in hospital)"
"196",17.29,"Scenario 4 (low transmissibilty in hospital)"
"197",17.29,"Scenario 4 (low transmissibilty in hospital)"
"198",17.29,"Scenario 4 (low transmissibilty in hospital)"
"199",25.57,"Scenario 4 (low transmissibilty in hospital)"
"200",25.57,"Scenario 4 (low transmissibilty in hospital)"
"201",25.57,"Scenario 4 (low transmissibilty in hospital)"
"202",25.57,"Scenario 4 (low transmissibilty in hospital)"
"203",33.61,"Scenario 4 (low transmissibilty in hospital)"
"204",33.61,"Scenario 4 (low transmissibilty in hospital)"
"205",33.61,"Scenario 4 (low transmissibilty in hospital)"
"206",33.61,"Scenario 4 (low transmissibilty in hospital)"
"207",41.43,"Scenario 4 (low transmissibilty in hospital)"
"208",41.43,"Scenario 4 (low transmissibilty in hospital)"
"209",41.43,"Scenario 4 (low transmissibilty in hospital)"
"210",41.43,"Scenario 4 (low transmissibilty in hospital)"
"211",49,"Scenario 4 (low transmissibilty in hospital)"
"212",49,"Scenario 4 (low transmissibilty in hospital)"
"213",49,"Scenario 4 (low transmissibilty in hospital)"
"214",49,"Scenario 4 (low transmissibilty in hospital)"
"215",56.36,"Scenario 4 (low transmissibilty in hospital)"
"216",56.36,"Scenario 4 (low transmissibilty in hospital)"
"217",56.36,"Scenario 4 (low transmissibilty in hospital)"
"218",56.36,"Scenario 4 (low transmissibilty in hospital)"
"219",63.48,"Scenario 4 (low transmissibilty in hospital)"
"220",63.48,"Scenario 4 (low transmissibilty in hospital)"
"221",63.48,"Scenario 4 (low transmissibilty in hospital)"
"222",63.48,"Scenario 4 (low transmissibilty in hospital)"
"223",70.36,"Scenario 4 (low transmissibilty in hospital)"
"224",70.36,"Scenario 4 (low transmissibilty in hospital)"
"225",70.36,"Scenario 4 (low transmissibilty in hospital)"
"226",70.36,"Scenario 4 (low transmissibilty in hospital)"
"227",77.03,"Scenario 4 (low transmissibilty in hospital)"
"228",77.03,"Scenario 4 (low transmissibilty in hospital)"
"229",77.03,"Scenario 4 (low transmissibilty in hospital)"
"230",77.03,"Scenario 4 (low transmissibilty in hospital)"
"231",9.85,"Scenario 4 (low transmissibilty in hospital)"
"232",9.85,"Scenario 4 (low transmissibilty in hospital)"
"233",9.85,"Scenario 4 (low transmissibilty in hospital)"
"234",9.85,"Scenario 4 (low transmissibilty in hospital)"
"235",19.37,"Scenario 4 (low transmissibilty in hospital)"
"236",19.37,"Scenario 4 (low transmissibilty in hospital)"
"237",19.37,"Scenario 4 (low transmissibilty in hospital)"
"238",19.37,"Scenario 4 (low transmissibilty in hospital)"
"239",28.6,"Scenario 4 (low transmissibilty in hospital)"
"240",28.6,"Scenario 4 (low transmissibilty in hospital)"
"241",28.6,"Scenario 4 (low transmissibilty in hospital)"
"242",28.6,"Scenario 4 (low transmissibilty in hospital)"
"243",37.52,"Scenario 4 (low transmissibilty in hospital)"
"244",37.52,"Scenario 4 (low transmissibilty in hospital)"
"245",37.52,"Scenario 4 (low transmissibilty in hospital)"
"246",37.52,"Scenario 4 (low transmissibilty in hospital)"
"247",46.15,"Scenario 4 (low transmissibilty in hospital)"
"248",46.15,"Scenario 4 (low transmissibilty in hospital)"
"249",46.15,"Scenario 4 (low transmissibilty in hospital)"
"250",46.15,"Scenario 4 (low transmissibilty in hospital)"
"251",54.48,"Scenario 4 (low transmissibilty in hospital)"
"252",54.48,"Scenario 4 (low transmissibilty in hospital)"
"253",54.48,"Scenario 4 (low transmissibilty in hospital)"
"254",54.48,"Scenario 4 (low transmissibilty in hospital)"
"255",62.51,"Scenario 4 (low transmissibilty in hospital)"
"256",62.51,"Scenario 4 (low transmissibilty in hospital)"
"257",62.51,"Scenario 4 (low transmissibilty in hospital)"
"258",62.51,"Scenario 4 (low transmissibilty in hospital)"
"259",70.25,"Scenario 4 (low transmissibilty in hospital)"
"260",70.25,"Scenario 4 (low transmissibilty in hospital)"
"261",70.25,"Scenario 4 (low transmissibilty in hospital)"
"262",70.25,"Scenario 4 (low transmissibilty in hospital)"
"263",77.71,"Scenario 4 (low transmissibilty in hospital)"
"264",77.71,"Scenario 4 (low transmissibilty in hospital)"
"265",77.71,"Scenario 4 (low transmissibilty in hospital)"
"266",77.71,"Scenario 4 (low transmissibilty in hospital)"
"267",84.88,"Scenario 4 (low transmissibilty in hospital)"
"268",84.88,"Scenario 4 (low transmissibilty in hospital)"
"269",84.88,"Scenario 4 (low transmissibilty in hospital)"
"270",84.88,"Scenario 4 (low transmissibilty in hospital)"
"271",10.91,"Scenario 4 (low transmissibilty in hospital)"
"272",10.91,"Scenario 4 (low transmissibilty in hospital)"
"273",10.91,"Scenario 4 (low transmissibilty in hospital)"
"274",10.91,"Scenario 4 (low transmissibilty in hospital)"
"275",10.91,"Scenario 4 (low transmissibilty in hospital)"
"276",10.91,"Scenario 4 (low transmissibilty in hospital)"
"277",21.44,"Scenario 4 (low transmissibilty in hospital)"
"278",21.44,"Scenario 4 (low transmissibilty in hospital)"
"279",21.44,"Scenario 4 (low transmissibilty in hospital)"
"280",21.44,"Scenario 4 (low transmissibilty in hospital)"
"281",21.44,"Scenario 4 (low transmissibilty in hospital)"
"282",21.44,"Scenario 4 (low transmissibilty in hospital)"
"283",31.58,"Scenario 4 (low transmissibilty in hospital)"
"284",31.58,"Scenario 4 (low transmissibilty in hospital)"
"285",31.58,"Scenario 4 (low transmissibilty in hospital)"
"286",31.58,"Scenario 4 (low transmissibilty in hospital)"
"287",31.58,"Scenario 4 (low transmissibilty in hospital)"
"288",31.58,"Scenario 4 (low transmissibilty in hospital)"
"289",41.36,"Scenario 4 (low transmissibilty in hospital)"
"290",41.36,"Scenario 4 (low transmissibilty in hospital)"
"291",41.36,"Scenario 4 (low transmissibilty in hospital)"
"292",41.36,"Scenario 4 (low transmissibilty in hospital)"
"293",41.36,"Scenario 4 (low transmissibilty in hospital)"
"294",41.36,"Scenario 4 (low transmissibilty in hospital)"
"295",50.77,"Scenario 4 (low transmissibilty in hospital)"
"296",50.77,"Scenario 4 (low transmissibilty in hospital)"
"297",50.77,"Scenario 4 (low transmissibilty in hospital)"
"298",50.77,"Scenario 4 (low transmissibilty in hospital)"
"299",50.77,"Scenario 4 (low transmissibilty in hospital)"
"300",50.77,"Scenario 4 (low transmissibilty in hospital)"
"301",59.8,"Scenario 4 (low transmissibilty in hospital)"
"302",59.8,"Scenario 4 (low transmissibilty in hospital)"
"303",59.8,"Scenario 4 (low transmissibilty in hospital)"
"304",59.8,"Scenario 4 (low transmissibilty in hospital)"
"305",59.8,"Scenario 4 (low transmissibilty in hospital)"
"306",59.8,"Scenario 4 (low transmissibilty in hospital)"
"307",68.47,"Scenario 4 (low transmissibilty in hospital)"
"308",68.47,"Scenario 4 (low transmissibilty in hospital)"
"309",68.47,"Scenario 4 (low transmissibilty in hospital)"
"310",68.47,"Scenario 4 (low transmissibilty in hospital)"
"311",68.47,"Scenario 4 (low transmissibilty in hospital)"
"312",68.47,"Scenario 4 (low transmissibilty in hospital)"
"313",76.78,"Scenario 4 (low transmissibilty in hospital)"
"314",76.78,"Scenario 4 (low transmissibilty in hospital)"
"315",76.78,"Scenario 4 (low transmissibilty in hospital)"
"316",76.78,"Scenario 4 (low transmissibilty in hospital)"
"317",76.78,"Scenario 4 (low transmissibilty in hospital)"
"318",76.78,"Scenario 4 (low transmissibilty in hospital)"
"319",84.76,"Scenario 4 (low transmissibilty in hospital)"
"320",84.76,"Scenario 4 (low transmissibilty in hospital)"
"321",84.76,"Scenario 4 (low transmissibilty in hospital)"
"322",84.76,"Scenario 4 (low transmissibilty in hospital)"
"323",84.76,"Scenario 4 (low transmissibilty in hospital)"
"324",84.76,"Scenario 4 (low transmissibilty in hospital)"
"325",92.36,"Scenario 4 (low transmissibilty in hospital)"
"326",92.36,"Scenario 4 (low transmissibilty in hospital)"
"327",92.36,"Scenario 4 (low transmissibilty in hospital)"
"328",92.36,"Scenario 4 (low transmissibilty in hospital)"
"329",92.36,"Scenario 4 (low transmissibilty in hospital)"
"330",92.36,"Scenario 4 (low transmissibilty in hospital)"
